Month of Date,Seats
January 1998,709474
February 1998,645540
March 1998,727679
April 1998,688959
May 1998,694529
June 1998,680556
July 1998,712081
August 1998,703779
September 1998,629879
October 1998,668118
November 1998,638728
December 1998,673952
January 1999,658550
February 1999,612951
March 1999,681972
April 1999,646910
May 1999,656976
June 1999,657008
July 1999,673392
August 1999,684273
September 1999,642842
October 1999,655834
November 1999,633150
December 1999,650825
January 2000,646992
February 2000,603188
March 2000,645482
April 2000,618126
May 2000,642097
June 2000,618219
July 2000,578232
August 2000,582665
September 2000,551448
October 2000,568527
November 2000,545461
December 2000,547138
January 2001,553127
February 2001,496914
March 2001,543904
April 2001,517998
May 2001,527448
June 2001,513520
July 2001,530638
August 2001,534819
September 2001,429923
October 2001,447024
November 2001,430101
December 2001,447407
January 2002,452828
February 2002,405351
March 2002,454141
April 2002,456569
May 2002,474421
June 2002,462167
July 2002,485392
August 2002,490923
September 2002,459238
October 2002,550483
November 2002,531020
December 2002,536306
January 2003,537261
February 2003,490000
March 2003,561552
April 2003,533403
May 2003,536665
June 2003,552071
July 2003,589661
August 2003,589173
September 2003,567925
October 2003,593689
November 2003,631447
December 2003,594016
January 2004,604827
February 2004,585039
March 2004,630534
April 2004,598030
May 2004,603837
June 2004,617038
July 2004,645759
August 2004,651795
September 2004,614789
October 2004,644073
November 2004,615671
December 2004,646608
